distractor_hash	scenario_id	permutation	evidence_lines_stripped
014335d0db9f	AQ-01	1	4
014335d0db9f	AQ-01	2	8
014335d0db9f	AQ-01	3	4
014335d0db9f	AQ-01	4	4
014335d0db9f	AQ-01	5	4
033660cca62f	DV-02	1	4
033660cca62f	DV-02	2	4
033660cca62f	DV-02	3	4
033660cca62f	DV-02	4	4
033660cca62f	DV-02	5	4
12a64e3fb0f6	HF-05	1	4
12a64e3fb0f6	HF-05	2	4
12a64e3fb0f6	HF-05	3	4
12a64e3fb0f6	HF-05	4	4
12a64e3fb0f6	HF-05	5	4
12b8eff3a2de	GP-05	1	4
12b8eff3a2de	GP-05	2	8
12b8eff3a2de	GP-05	3	8
12b8eff3a2de	GP-05	4	4
12b8eff3a2de	GP-05	5	4
157859496ad6	EA-05	1	4
157859496ad6	EA-05	2	6
157859496ad6	EA-05	3	6
157859496ad6	EA-05	4	4
157859496ad6	EA-05	5	4
1745eca4fc94	EL-02	1	5
1745eca4fc94	EL-02	2	3
1745eca4fc94	EL-02	3	4
1745eca4fc94	EL-02	4	4
1745eca4fc94	EL-02	5	8
1ae886f8ec60	DI-02	1	4
1ae886f8ec60	DI-02	2	4
1ae886f8ec60	DI-02	3	4
1ae886f8ec60	DI-02	4	4
1ae886f8ec60	DI-02	5	4
1e1921c3db3d	TD-02	1	4
1e1921c3db3d	TD-02	2	4
1e1921c3db3d	TD-02	3	4
1e1921c3db3d	TD-02	4	3
1e1921c3db3d	TD-02	5	4
1e282b9b820e	CD-03	1	4
1e282b9b820e	CD-03	2	4
1e282b9b820e	CD-03	3	6
1e282b9b820e	CD-03	4	4
1e282b9b820e	CD-03	5	4
1e3b23af8569	TS-03	1	4
1e3b23af8569	TS-03	2	6
1e3b23af8569	TS-03	3	4
1e3b23af8569	TS-03	4	4
1e3b23af8569	TS-03	5	4
1f70bcb5d3d1	EA-03	1	6
1f70bcb5d3d1	EA-03	2	6
1f70bcb5d3d1	EA-03	3	4
1f70bcb5d3d1	EA-03	4	8
1f70bcb5d3d1	EA-03	5	4
22dcb145f9e7	FP-02	1	4
22dcb145f9e7	FP-02	2	4
22dcb145f9e7	FP-02	3	4
22dcb145f9e7	FP-02	4	4
22dcb145f9e7	FP-02	5	4
2d03879aeb75	PB-02	1	4
2d03879aeb75	PB-02	2	3
2d03879aeb75	PB-02	3	4
2d03879aeb75	PB-02	4	4
2d03879aeb75	PB-02	5	3
333e72b77a7e	SE-02	1	4
333e72b77a7e	SE-02	2	6
333e72b77a7e	SE-02	3	6
333e72b77a7e	SE-02	4	4
333e72b77a7e	SE-02	5	4
385f41abe989	AR-01	1	3
385f41abe989	AR-01	2	8
385f41abe989	AR-01	3	6
385f41abe989	AR-01	4	4
385f41abe989	AR-01	5	4
397d6a9e2f9c	EA-06	1	8
397d6a9e2f9c	EA-06	2	6
397d6a9e2f9c	EA-06	3	4
397d6a9e2f9c	EA-06	4	4
397d6a9e2f9c	EA-06	5	4
3aea336ea350	DN-02	1	8
3aea336ea350	DN-02	2	4
3aea336ea350	DN-02	3	3
3aea336ea350	DN-02	4	4
3aea336ea350	DN-02	5	4
3b4761800fa8	HS-02	1	4
3b4761800fa8	HS-02	2	4
3b4761800fa8	HS-02	3	4
3b4761800fa8	HS-02	4	4
3b4761800fa8	HS-02	5	4
3be9d2a391a3	SW-01	1	5
3be9d2a391a3	SW-01	2	4
3be9d2a391a3	SW-01	3	3
3be9d2a391a3	SW-01	4	4
3be9d2a391a3	SW-01	5	4
46ac751ffa86	GP-03	1	4
46ac751ffa86	GP-03	2	4
46ac751ffa86	GP-03	3	4
46ac751ffa86	GP-03	4	4
46ac751ffa86	GP-03	5	6
4a57d07ce53f	MC-05	1	4
4a57d07ce53f	MC-05	2	3
4a57d07ce53f	MC-05	3	3
4a57d07ce53f	MC-05	4	3
4a57d07ce53f	MC-05	5	4
4a695963058c	PS-04	1	4
4a695963058c	PS-04	2	4
4a695963058c	PS-04	3	3
4a695963058c	PS-04	4	4
4a695963058c	PS-04	5	4
4c261d7d8a9d	IM-01	1	4
4c261d7d8a9d	IM-01	2	4
4c261d7d8a9d	IM-01	3	4
4c261d7d8a9d	IM-01	4	3
4c261d7d8a9d	IM-01	5	4
4d111b607425	CS-06	1	4
4d111b607425	CS-06	2	3
4d111b607425	CS-06	3	3
4d111b607425	CS-06	4	4
4d111b607425	CS-06	5	4
4fb4e2a1db10	PY-03	1	4
4fb4e2a1db10	PY-03	2	4
4fb4e2a1db10	PY-03	3	4
4fb4e2a1db10	PY-03	4	4
4fb4e2a1db10	PY-03	5	4
4ff4f55632cd	SZ-01	1	4
4ff4f55632cd	SZ-01	2	4
4ff4f55632cd	SZ-01	3	3
4ff4f55632cd	SZ-01	4	4
4ff4f55632cd	SZ-01	5	4
50cbbb39273a	CT-02	1	4
50cbbb39273a	CT-02	3	6
50cbbb39273a	CT-02	4	3
50cbbb39273a	CT-02	5	4
52c3e23c7f6f	DM-01	1	4
52c3e23c7f6f	DM-01	2	4
52c3e23c7f6f	DM-01	3	4
52c3e23c7f6f	DM-01	4	4
52c3e23c7f6f	DM-01	5	4
5342b029447f	HS-03	2	4
